video_id,technique_id,relevance_score,is_primary
VID_001,TD_008,0.8,false
VID_001,TD_009,0.8,false
VID_001,TD_010,0.8,false
VID_002,SC_PC_001,0.8,false
VID_003,SC_016,0.8,false
VID_004,BJ_003,0.8,false
VID_004,MG_005,0.8,false
VID_004,AL_004,0.8,false
VID_004,LB_002,0.8,false
VID_004,IR_002,0.8,false
VID_005,TT_015,0.8,false
VID_006,BC_014,0.8,false
VID_007,TT_001,0.8,false
VID_008,SM_028,0.8,false
VID_009,SM_028,0.8,false
VID_010,HG_001,0.8,false
VID_010,HG_004,0.8,false
VID_011,OG_019,0.8,false
VID_011,OG_003,0.8,false
VID_012,TD_001,0.8,false
VID_012,TD_002,0.8,false
VID_013,BC_005,0.8,false
VID_013,SM_001,0.8,false
VID_013,SM_002,0.8,false
VID_013,BC_004,0.8,false
VID_014,GP_024,0.8,false
VID_015,BJ_005,0.8,false
VID_015,MG_006,0.8,false
VID_015,AL_005,0.8,false
VID_015,LB_001,0.8,false
VID_016,GP_KS_001,0.8,false
VID_017,BJ_004,0.8,false
VID_017,MG_004,0.8,false
VID_017,LB_004,0.8,false
VID_017,IR_005,0.8,false
VID_018,TD_006,0.8,false
VID_018,CL_001,0.8,false
VID_018,CL_002,0.8,false
VID_018,CL_003,0.8,false
VID_018,CL_007,0.8,false
VID_018,CL_008,0.8,false
VID_018,CL_009,0.8,false
VID_018,TT_002,0.8,false
VID_018,TT_005,0.8,false
VID_018,CL_005,0.8,false
VID_018,CL_006,0.8,false
VID_018,CL_012,0.8,false
VID_018,CL_014,0.8,false
VID_019,GP_005,0.8,false
VID_019,GP_020,0.8,false
VID_020,NS_007,0.8,false
VID_020,NS_001,0.8,false
VID_020,NS_002,0.8,false
VID_020,NS_003,0.8,false
VID_021,CG_008,0.8,false
VID_021,SM_005,0.8,false
VID_021,SM_003,0.8,false
VID_022,GP_016,0.8,false
VID_023,CG_FS_001,0.8,false
VID_024,OG_019,0.8,false
VID_024,OG_020,0.8,false
VID_024,CG_019,0.8,false
VID_024,OG_001,0.8,false
VID_024,OG_002,0.8,false
VID_025,GP_008,0.8,false
VID_025,GP_010,0.8,false
VID_026,CG_011,0.8,false
VID_027,BJ_001,0.8,false
VID_027,MG_001,0.8,false
VID_028,OG_DLR_001,0.8,false
VID_029,CG_008,0.8,false
VID_030,BC_005,0.8,false
VID_031,HG_001,0.8,false
VID_031,HG_016,0.8,false
VID_031,HG_019,0.8,false
VID_031,HG_020,0.8,false
VID_031,HG_024,0.8,false
VID_031,HG_002,0.8,false
VID_031,HG_003,0.8,false
VID_032,GP_008,0.8,false
VID_032,GP_025,0.8,false
VID_033,CL_017,0.8,false
VID_033,SM_010,0.8,false
VID_033,SM_006,0.8,false
VID_034,BJ_006,0.8,false
VID_034,MG_003,0.8,false
VID_034,AL_001,0.8,false
VID_034,AL_003,0.8,false
VID_034,AL_006,0.8,false
VID_034,LB_003,0.8,false
VID_034,LB_005,0.8,false
VID_034,IR_001,0.8,false
VID_034,IR_004,0.8,false
VID_035,SC_016,0.8,false
VID_036,SC_001,0.8,false
VID_036,SC_002,0.8,false
VID_036,SC_006,0.8,false
VID_036,SC_007,0.8,false
VID_036,SC_012,0.8,false
VID_036,SC_013,0.8,false
VID_036,SC_016,0.8,false
VID_036,SC_019,0.8,false
VID_036,KB_008,0.8,false
VID_036,KB_001,0.8,false
VID_036,KB_002,0.8,false
VID_036,KB_003,0.8,false
VID_037,SM_022,0.8,false
VID_038,TT_001,0.8,false
VID_039,GP_003,0.8,false
VID_039,GP_004,0.8,false
VID_039,GP_017,0.8,false
VID_039,GP_021,0.8,false
VID_040,BC_001,0.8,false
VID_040,BC_003,0.8,false
VID_040,BC_011,0.8,false
VID_040,BC_014,0.8,false
VID_040,CG_014,0.8,false
VID_040,BC_002,0.8,false
VID_040,BC_006,0.8,false
VID_041,HG_KS_001,0.8,false
VID_042,TD_018,0.8,false
VID_043,GP_005,0.8,false
VID_043,GP_020,0.8,false
VID_044,GP_002,0.8,false
VID_045,SC_016,0.8,false
VID_046,SM_AB_001,0.8,false
VID_047,SC_001,0.8,false
VID_048,MT_001,0.8,false
VID_048,MT_004,0.8,false
VID_048,MT_007,0.8,false
VID_048,MT_008,0.8,false
VID_048,MT_009,0.8,false
VID_048,MT_010,0.8,false
VID_048,MT_015,0.8,false
VID_048,SM_021,0.8,false
VID_048,MT_002,0.8,false
VID_048,MT_003,0.8,false
VID_048,MT_005,0.8,false
VID_048,MT_006,0.8,false
VID_048,SM_008,0.8,false
VID_049,BC_014,0.8,false
VID_050,SM_005,0.8,false
VID_051,BJ_002,0.8,false
VID_051,MG_002,0.8,false
VID_051,MG_007,0.8,false
VID_051,IR_003,0.8,false
VID_052,GP_020,0.8,false
VID_053,CG_001,0.8,false
VID_053,CG_002,0.8,false
VID_053,CG_003,0.8,false
VID_053,CG_004,0.8,false
VID_053,CG_009,0.8,false
VID_053,CG_010,0.8,false
VID_053,CG_012,0.8,false
VID_053,CG_013,0.8,false
VID_053,CG_015,0.8,false
VID_053,CG_016,0.8,false
VID_053,CG_017,0.8,false
VID_053,CG_025,0.8,false
VID_053,CG_030,0.8,false
VID_053,SM_004,0.8,false
VID_053,SM_020,0.8,false
VID_053,CG_005,0.8,false
VID_053,CG_006,0.8,false
VID_053,CG_007,0.8,false
VID_053,SM_007,0.8,false
